country,year_prev,rate_prev,year_latest,rate_latest,delta
Guyana,2019.0,23.479725,2020.0,25.265173,1.7854480000000024
Suriname,2013.0,24.337643,2014.0,23.955114,-0.3825290000000017
Uruguay,2021.0,19.593613,2022.0,21.323412,1.7297989999999999
South Korea,2021.0,19.922537,2022.0,19.023008,-0.8995289999999976
Belarus,2014.0,15.350015,2018.0,15.478123,0.12810799999999922
Mongolia,2022.0,17.06429,2023.0,15.473985,-1.590304999999999
Lithuania,2022.0,13.749394,2023.0,14.655936,0.906542
Japan,2021.0,14.002388,2022.0,14.459399,0.4570109999999996
United States,2021.0,13.10246,2022.0,13.172756,0.07029599999999903
Estonia,2021.0,12.003157,2022.0,12.159673,0.15651599999999988
Sri Lanka,2015.0,12.425731,2019.0,12.144417,-0.28131400000000006
New Zealand,2017.0,12.081867,2018.0,12.106587,0.02471999999999852
Slovenia,2022.0,14.440344,2023.0,11.986767,-2.4535769999999992
Ukraine,2018.0,12.069703,2019.0,11.911246,-0.1584570000000003
Finland,2021.0,11.69331,2022.0,11.841035,0.14772499999999944
Hungary,2022.0,11.929592,2023.0,11.440741,-0.48885100000000037
Belgium,2020.0,11.945962,2021.0,11.275168,-0.670793999999999
Australia,2022.0,11.396501,2023.0,10.887463,-0.5090380000000003
Cuba,2020.0,9.409665,2021.0,10.642929,1.2332640000000001
Norway,2015.0,9.778414,2016.0,10.523933,0.7455189999999998
Sweden,2022.0,9.926307,2023.0,10.505647,0.5793400000000002
Latvia,2022.0,9.308437,2023.0,10.421383,1.1129460000000009
Poland,2021.0,10.27625,2022.0,10.361894,0.08564400000000028
France,2021.0,10.144497,2022.0,10.354827,0.2103300000000008
Mauritius,2022.0,8.184979,2023.0,10.222789,2.0378100000000003
Russia,2018.0,10.799854,2019.0,10.067955,-0.7318990000000003
Croatia,2020.0,9.587826,2021.0,10.024444,0.43661800000000106
Chile,2021.0,7.4671283,2022.0,9.8998,2.432671700000001
Austria,2022.0,9.442171,2023.0,9.884953,0.44278199999999934
Cape Verde,1980.0,4.9695573,2011.0,9.573294,4.603736700000001
Seychelles,2020.0,3.4760947,2021.0,9.3963785,5.920283800000001
Czechia,2022.0,9.705822,2023.0,9.333653,-0.37216899999999953
Reunion,2015.0,10.8915415,2016.0,9.148912,-1.7426295000000014
Moldova,2022.0,12.202262,2023.0,8.914837,-3.287424999999999
French Guiana,2015.0,7.782844,2016.0,8.834202,1.0513579999999996
Thailand,2021.0,8.444977,2023.0,8.830321,0.3853439999999999
Hong Kong,2016.0,9.283103,2017.0,8.700572,-0.5825310000000012
Belize,2021.0,8.864524,2022.0,8.530621,-0.3339029999999994
Netherlands,2022.0,8.780512,2023.0,8.479001,-0.30151099999999964
Switzerland,2022.0,7.9037004,2023.0,8.379478,0.4757776000000007
Canada,2021.0,8.917579,2022.0,8.23305,-0.6845289999999995
Costa Rica,2021.0,6.988804,2022.0,8.213955,1.2251510000000003
Kazakhstan,2022.0,9.120549,2023.0,8.078788,-1.041761000000001
United Kingdom,2020.0,7.5582347,2021.0,7.965457,0.4072222999999999
Paraguay,2020.0,7.231148,2021.0,7.950581,0.7194329999999995
Trinidad and Tobago,2019.0,9.8484745,2020.0,7.9360337,-1.9124407999999997
Ireland,2021.0,8.368268,2022.0,7.7408648,-0.6274032000000007
Iceland,2021.0,9.69666,2022.0,7.578996,-2.1176639999999995
Singapore,2021.0,6.7373796,2022.0,7.5185566,0.7811770000000005
Germany,2019.0,7.3828373,2020.0,7.5085526,0.12571529999999953
Denmark,2021.0,6.6703506,2022.0,7.454233,0.7838824000000004
Nicaragua,2021.0,6.3507824,2022.0,7.012602,0.6618196000000003
Serbia,2022.0,7.4297338,2023.0,7.007973,-0.4217608000000004
Dominican Republic,2017.0,6.491622,2018.0,6.972756,0.48113400000000084
Brazil,2020.0,6.042095,2021.0,6.862013,0.8199180000000004
Argentina,2021.0,6.111435,2022.0,6.8509984,0.7395633999999998
Romania,2020.0,6.814567,2022.0,6.682241,-0.13232599999999994
Portugal,2019.0,6.2597914,2022.0,6.596331,0.33653960000000005
Ecuador,2021.0,4.9327807,2022.0,6.323039,1.3902582999999993
Spain,2022.0,6.3244348,2023.0,6.1865764,-0.13785839999999983
Bosnia and Herzegovina,1991.0,11.348727,2014.0,6.168821,-5.179906
Puerto Rico,2021.0,5.9367623,2022.0,6.1077213,0.17095899999999986
Mexico,2021.0,6.2770996,2022.0,6.048173,-0.22892659999999942
Grenada,2022.0,4.254483,2023.0,5.943969,1.6894860000000005
Martinique,2015.0,4.980147,2016.0,5.720398,0.7402510000000007
Colombia,2020.0,5.167012,2021.0,5.680972,0.51396
Kyrgyzstan,2022.0,5.2501483,2023.0,5.540079,0.2899307000000002
Uzbekistan,2022.0,4.8214293,2023.0,5.2523685,0.4309392000000001
Guadeloupe,2015.0,6.0884976,2016.0,5.007431,-1.0810665999999998
Slovakia,2022.0,5.409324,2023.0,4.969411,-0.4399129999999998
Iran,2016.0,3.5563602,2017.0,4.952047,1.3956868000000004
Georgia,2021.0,4.3100324,2023.0,4.8479238,0.5378914000000004
Bulgaria,2021.0,5.4499383,2022.0,4.620339,-0.8295992999999999
Turkey,2022.0,4.7324867,2023.0,4.607418,-0.12506869999999992
Luxembourg,2022.0,6.4092445,2023.0,4.576669,-1.8325755
Italy,2021.0,4.641532,2022.0,4.5570703,-0.08446169999999942
North Macedonia,2022.0,3.998135,2023.0,4.392378,0.3942429999999999
Malta,2021.0,6.208449,2022.0,4.2172546,-1.9911943999999995
Fiji,2011.0,5.286751,2012.0,4.177311,-1.1094399999999993
Montenegro,2017.0,7.307476,2019.0,3.9229963,-3.3844797000000004
Cyprus,2021.0,2.2690759,2022.0,3.7249649,1.455889
El Salvador,2017.0,4.319961,2018.0,3.7113616,-0.6085994000000001
Israel,2021.0,4.208058,2022.0,3.7030916,-0.5049664000000003
Greece,2021.0,3.171057,2022.0,3.6210206,0.44996360000000024
Saint Lucia,2019.0,6.383699,2020.0,3.3088608,-3.0748382
Guatemala,2021.0,4.0749674,2022.0,3.1021764,-0.9727910000000004
Albania,2009.0,0.0,2010.0,3.0792544,3.0792544
Venezuela,2015.0,2.0107584,2016.0,2.9424462,0.9316878000000002
Philippines,2018.0,2.948911,2019.0,2.7041261,-0.24478489999999997
Panama,2021.0,2.9714763,2022.0,2.536601,-0.43487529999999985
Turkmenistan,2014.0,2.415826,2015.0,2.3906498,-0.025176200000000204
United Arab Emirates,2020.0,1.3792543,2023.0,2.3382325,0.9589782000000002
Mayotte,2015.0,0.9334028,2016.0,2.2073195,1.2739167
Peru,2021.0,2.3990111,2022.0,2.1706707,-0.2283404
Antigua and Barbuda,2020.0,0.0,2021.0,2.0457706,2.0457706
Tajikistan,2021.0,2.0657485,2022.0,1.8339125,-0.23183600000000015
Saudi Arabia,2022.0,1.3409306,2023.0,1.7516338,0.41070319999999993
Sao Tome and Principe,1985.0,2.7100344,1987.0,1.6616279,-1.0484065
Brunei,2018.0,2.9009075,2019.0,1.6376272,-1.2632803000000001
Qatar,2022.0,1.9217685,2023.0,1.5199353,-0.4018332
Armenia,2022.0,1.3592144,2023.0,1.4868191,0.12760470000000002
Kuwait,2022.0,1.2658212,2023.0,1.4769591,0.2111379
Maldives,2020.0,0.4541732,2021.0,1.1820856,0.7279123999999999
Azerbaijan,2004.0,1.2709835,2007.0,0.64792806,-0.62305544
Bahamas,2015.0,1.24599,2016.0,0.5483883,-0.6976016999999999
Bahrain,2013.0,0.29605642,2014.0,0.5413805,0.24532408000000006
South Africa,2019.0,0.74533063,2020.0,0.3561868,-0.38914382999999997
Lebanon,2021.0,0.37266317,2023.0,0.27717775,-0.09548541999999999
Jamaica,2013.0,0.0,2014.0,0.20999496,0.20999496
Syria,2009.0,0.12016224,2010.0,0.17135303,0.051190789999999986
Jordan,2017.0,0.16285825,2018.0,0.11787966,-0.04497859000000001
Egypt,2018.0,0.09491662,2019.0,0.07450634,-0.02041027999999999
Malaysia,2019.0,0.03881151,2020.0,0.07090257,0.03209106
Oman,2020.0,0.13316965,2021.0,0.01567037,-0.11749928
Iraq,2015.0,0.00619459,2016.0,0.01178987,0.005595279999999999
Barbados,2012.0,0.0,2013.0,0.0,0.0
Saint Vincent and the Grenadines,2021.0,0.0,2022.0,0.0,0.0
